#Oct 10, 2006	Omega Optical
#Room temperature transmission scans of SWIRC Y-band filter witness sample
#at 15 deg angle of incidence with respect to the normal.
#wl	transmission
#--	-
1653	0.0044
1652	-0.0051
1651	0.0028
1650	0.0038
1649	-0.0008
1648	0.0039
1647	-0.0121
1646	0.0064
1645	0.0063
1644	0.0082
1643	0.0058
1642	-0.0019
1641	0.0064
1640	-0.0007
1639	0.0262
1638	-0.0161
1637	0.0027
1636	0.0164
1635	-0.0045
1634	-0.0088
1633	-0.0019
1632	0.0025
1631	0.0070
1630	0.0087
1629	-0.0031
1628	0.0089
1627	0.0089
1626	0.0044
1625	0.0120
1624	0.0000
1623	0.0045
1622	-0.0006
1621	0.0018
1620	0.0153
1619	0.0070
1618	0.0134
1617	0.0045
1616	0.0254
1615	-0.0231
1614	-0.0031
1613	-0.0051
1612	0.0090
1611	-0.0114
1610	0.0064
1609	0.0134
1608	0.0064
1607	0.0139
1606	-0.0057
1605	-0.0000
1604	-0.0084
1603	0.0001
1602	0.0039
1601	-0.0082
1600	0.0110
1599	0.0095
1598	0.0158
1597	0.0076
1596	0.0039
1595	-0.0084
1594	-0.0038
1593	-0.0040
1592	-0.0081
1591	-0.0100
1590	0.0151
1589	0.0095
1588	0.0070
1587	-0.0045
1586	-0.0032
1585	0.0115
1584	0.0013
1583	0.0050
1582	-0.0025
1581	0.0089
1580	-0.0038
1579	-0.0032
1578	-0.0032
1577	0.0019
1576	0.0007
1575	-0.0013
1574	-0.0065
1573	0.0212
1572	0.0045
1571	-0.0001
1570	0.0032
1569	-0.0076
1568	-0.0164
1567	0.0104
1566	0.0132
1565	0.0038
1564	0.0027
1563	0.0031
1562	0.0032
1561	0.0032
1560	-0.0071
1559	-0.0044
1558	-0.0075
1557	0.0083
1556	-0.0013
1555	0.0089
1554	-0.0049
1553	-0.0027
1552	0.0120
1551	-0.0025
1550	0.0082
1549	0.0001
1548	0.0070
1547	0.0090
1546	-0.0098
1545	-0.0142
1544	0.0011
1543	-0.0012
1542	-0.0032
1541	-0.0089
1540	0.0031
1539	-0.0025
1538	-0.0096
1537	-0.0044
1536	0.0096
1535	-0.0032
1534	-0.0007
1533	-0.0013
1532	-0.0013
1531	-0.0000
1530	-0.0013
1529	-0.0063
1528	0.0013
1527	-0.0178
1526	0.0044
1525	0.0108
1524	-0.0203
1523	-0.0140
1522	0.0083
1521	0.0075
1520	-0.0042
1519	0.0133
1518	0.0089
1517	-0.0083
1516	-0.0076
1515	0.0165
1514	0.0019
1513	0.0171
1512	-0.0018
1511	-0.0089
1510	-0.0147
1509	0.0032
1508	0.0000
1507	-0.0076
1506	0.0006
1505	0.0037
1504	-0.0089
1503	-0.0013
1502	-0.0088
1501	-0.0096
1500	0.0026
1499	0.0037
1498	0.0012
1497	-0.0000
1496	0.0031
1495	-0.0070
1494	-0.0021
1493	0.0056
1492	0.0031
1491	0.0025
1490	-0.0008
1489	-0.0005
1488	0.0165
1487	-0.0082
1486	-0.0108
1485	-0.0017
1484	0.0090
1483	0.0013
1482	0.0038
1481	-0.0070
1480	0.0026
1479	0.0082
1478	0.0070
1477	0.0082
1476	0.0125
1475	-0.0025
1474	-0.0057
1473	0.0044
1472	0.0025
1471	0.0025
1470	0.0007
1469	0.0039
1468	0.0050
1467	0.0152
1466	0.0272
1465	0.0057
1464	-0.0131
1463	-0.0108
1462	0.0024
1461	0.0046
1460	-0.0001
1459	-0.0094
1458	-0.0088
1457	-0.0032
1456	0.0032
1455	0.0044
1454	0.0184
1453	-0.0006
1452	-0.0076
1451	0.0006
1450	0.0182
1449	0.0076
1448	0.0051
1447	0.0053
1446	-0.0014
1445	-0.0029
1444	0.0116
1443	0.0074
1442	0.0005
1441	0.0032
1440	0.0019
1439	-0.0031
1438	-0.0013
1437	-0.0056
1436	0.0077
1435	0.0064
1434	0.0081
1433	-0.0019
1432	0.0090
1431	0.0112
1430	0.0118
1429	-0.0025
1428	0.0159
1427	0.0006
1426	0.0151
1425	0.0055
1424	0.0082
1423	-0.0044
1422	-0.0018
1421	0.0296
1420	0.0075
1419	0.0192
1418	0.0088
1417	0.0049
1416	-0.0026
1415	0.0237
1414	0.0146
1413	0.0148
1412	-0.0001
1411	0.0170
1410	0.0124
1409	0.0013
1408	0.0162
1407	0.0163
1406	0.0017
1405	-0.0046
1404	0.0123
1403	0.0102
1402	0.0100
1401	0.0211
1400	0.0186
1399	0.0145
1398	0.0110
1397	0.0052
1396	0.0046
1395	0.0248
1394	0.0145
1393	-0.0001
1392	0.0212
1391	0.0069
1390	0.0299
1389	0.0133
1388	0.0007
1387	0.0021
1386	0.0061
1385	0.0081
1384	0.0092
1383	0.0062
1382	0.0189
1381	0.0056
1380	0.0053
1379	0.0062
1378	0.0018
1377	0.0046
1376	0.0104
1375	0.0218
1374	0.0101
1373	0.0175
1372	0.0190
1371	0.0004
1370	0.0237
1369	0.0120
1368	0.0200
1367	0.0166
1366	0.0253
1365	0.0153
1364	0.0218
1363	0.0176
1362	0.0065
1361	0.0197
1360	0.0078
1359	0.0021
1358	0.0006
1357	0.0174
1356	0.0003
1355	0.0060
1354	0.0218
1353	0.0067
1352	0.0010
1351	0.0211
1350	0.0100
1349	-0.0005
1348	0.0057
1347	0.0019
1346	0.0118
1345	0.0063
1344	0.0208
1343	0.0026
1342	0.0125
1341	0.0165
1340	0.0126
1339	0.0303
1338	0.0356
1337	0.0370
1336	0.0340
1335	0.0297
1334	0.0194
1333	0.0222
1332	0.0277
1331	0.0323
1330	0.0233
1329	0.0078
1328	0.0137
1327	0.0077
1326	0.0260
1325	-0.0017
1324	0.0165
1323	0.0208
1322	0.0000
1321	0.0090
1320	0.0138
1319	0.0121
1318	0.0108
1317	0.0221
1316	0.0153
1315	0.0158
1314	0.0164
1313	0.0045
1312	0.0148
1311	0.0078
1310	0.0033
1309	0.0232
1308	0.0123
1307	0.0094
1306	0.0167
1305	0.0086
1304	0.0022
1303	0.0114
1302	-0.0020
1301	0.0044
1300	0.0026
1299	0.0063
1298	0.0077
1297	0.0069
1296	0.0120
1295	-0.0044
1294	0.0045
1293	0.0165
1292	0.0114
